Thermodynamic thermodynamic T Th The Ther c ic mic amic INITCAP NODIGIT 0 NOPUNCT Thermodynamic Xxxx Xx DIFFERENTFONT HIGHERFONT false false BASELINE false
and and a an and and d nd and and NOCAPS NODIGIT 0 NOPUNCT and xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
Transport transport T Tr Tra Tran t rt ort port INITCAP NODIGIT 0 NOPUNCT Transport Xxxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
Measurements measurements M Me Mea Meas s ts nts ents INITCAP NODIGIT 0 NOPUNCT Measurements Xxxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
on on o on on on n on on on NOCAPS NODIGIT 0 NOPUNCT on xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
Superconducting superconducting S Su Sup Supe g ng ing ting INITCAP NODIGIT 0 NOPUNCT Superconducting Xxxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
Na na N Na Na Na a Na Na Na INITCAP NODIGIT 0 NOPUNCT Na Xx Xx SAMEFONT SAMEFONTSIZE false false BASELINE true
x x x x x x x x x x NOCAPS NODIGIT 1 NOPUNCT x x x DIFFERENTFONT LOWERFONT false false SUBSCRIPT true
CoO coo C Co CoO CoO O oO CoO CoO INITCAP NODIGIT 0 NOPUNCT CoO XxX XxX DIFFERENTFONT HIGHERFONT false false BASELINE true
2 2 2 2 2 2 2 2 2 2 NOCAPS ALLDIGIT 1 NOPUNCT X d d DIFFERENTFONT LOWERFONT false false SUBSCRIPT true
· · · · · · · · · · ALLCAPS NODIGIT 1 NOPUNCT · · · DIFFERENTFONT HIGHERFONT false false BASELINE true
yH yh y yH yH yH H yH yH yH NOCAPS NODIGIT 0 NOPUNCT yH xX xX DIFFERENTFONT SAMEFONTSIZE false false BASELINE true
2 2 2 2 2 2 2 2 2 2 NOCAPS ALLDIGIT 1 NOPUNCT X d d DIFFERENTFONT LOWERFONT false false SUBSCRIPT true
O o O O O O O O O O ALLCAPS NODIGIT 1 NOPUNCT O X X DIFFERENTFONT HIGHERFONT false false BASELINE true
Single single S Si Sin Sing e le gle ngle INITCAP NODIGIT 0 NOPUNCT Single Xxxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE true
