Quasiparticle quasiparticle Q Qu Qua Quas e le cle icle INITCAP NODIGIT 0 NOPUNCT Quasiparticle Xxxx Xx DIFFERENTFONT HIGHERFONT false false BASELINE false
Excitation excitation E Ex Exc Exci n on ion tion INITCAP NODIGIT 0 NOPUNCT Excitation Xxxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
in in i in in in n in in in NOCAPS NODIGIT 0 NOPUNCT in xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
the the t th the the e he the the NOCAPS NODIGIT 0 NOPUNCT the xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
Superconducting superconducting S Su Sup Supe g ng ing ting INITCAP NODIGIT 0 NOPUNCT Superconducting Xxxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
Pyrochlore pyrochlore P Py Pyr Pyro e re ore lore INITCAP NODIGIT 0 NOPUNCT Pyrochlore Xxxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE true
Cd cd C Cd Cd Cd d Cd Cd Cd INITCAP NODIGIT 0 NOPUNCT Cd Xx Xx SAMEFONT SAMEFONTSIZE false false BASELINE true
2 2 2 2 2 2 2 2 2 2 NOCAPS ALLDIGIT 1 NOPUNCT X d d DIFFERENTFONT LOWERFONT false false SUBSCRIPT true
Re re R Re Re Re e Re Re Re INITCAP NODIGIT 0 NOPUNCT Re Xx Xx DIFFERENTFONT HIGHERFONT false false BASELINE true
2 2 2 2 2 2 2 2 2 2 NOCAPS ALLDIGIT 1 NOPUNCT X d d DIFFERENTFONT LOWERFONT false false SUBSCRIPT true
O o O O O O O O O O ALLCAPS NODIGIT 1 NOPUNCT O X X DIFFERENTFONT HIGHERFONT false false BASELINE true
7 7 7 7 7 7 7 7 7 7 NOCAPS ALLDIGIT 1 NOPUNCT X d d DIFFERENTFONT LOWERFONT false false SUBSCRIPT true
Probed probed P Pr Pro Prob d ed bed obed INITCAP NODIGIT 0 NOPUNCT Probed Xxxx Xx DIFFERENTFONT HIGHERFONT false false BASELINE false
by by b by by by y by by by NOCAPS NODIGIT 0 NOPUNCT by xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
Muon muon M Mu Muo Muon n on uon Muon INITCAP NODIGIT 0 NOPUNCT Muon Xxxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
Spin spin S Sp Spi Spin n in pin Spin INITCAP NODIGIT 0 NOPUNCT Spin Xxxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
Rotation rotation R Ro Rot Rota n on ion tion INITCAP NODIGIT 0 NOPUNCT Rotation Xxxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false


The the T Th The The e he The The INITCAP NODIGIT 0 NOPUNCT The Xxx Xx DIFFERENTFONT HIGHERFONT false false BASELINE false
quasiparticle quasiparticle q qu qua quas e le cle icle NOCAPS NODIGIT 0 NOPUNCT quasiparticle xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
excitations excitations e ex exc exci s ns ons ions NOCAPS NODIGIT 0 NOPUNCT excitations xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
in in i in in in n in in in NOCAPS NODIGIT 0 NOPUNCT in xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
the the t th the the e he the the NOCAPS NODIGIT 0 NOPUNCT the xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
mixed mixed m mi mix mixe d ed xed ixed NOCAPS NODIGIT 0 NOPUNCT mixed xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
state state s st sta stat e te ate tate NOCAPS NODIGIT 0 NOPUNCT state xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
of of o of of of f of of of NOCAPS NODIGIT 0 NOPUNCT of xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
Cd cd C Cd Cd Cd d Cd Cd Cd INITCAP NODIGIT 0 NOPUNCT Cd Xx Xx SAMEFONT SAMEFONTSIZE false false BASELINE true
2 2 2 2 2 2 2 2 2 2 NOCAPS ALLDIGIT 1 NOPUNCT X d d DIFFERENTFONT LOWERFONT false false SUBSCRIPT true
Re re R Re Re Re e Re Re Re INITCAP NODIGIT 0 NOPUNCT Re Xx Xx DIFFERENTFONT HIGHERFONT false false BASELINE true
2 2 2 2 2 2 2 2 2 2 NOCAPS ALLDIGIT 1 NOPUNCT X d d DIFFERENTFONT LOWERFONT false false SUBSCRIPT true
O o O O O O O O O O ALLCAPS NODIGIT 1 NOPUNCT O X X DIFFERENTFONT HIGHERFONT false false BASELINE true
7 7 7 7 7 7 7 7 7 7 NOCAPS ALLDIGIT 1 NOPUNCT X d d DIFFERENTFONT LOWERFONT false false SUBSCRIPT true
have have h ha hav have e ve ave have NOCAPS NODIGIT 0 NOPUNCT have xxxx x DIFFERENTFONT HIGHERFONT false false BASELINE false
been been b be bee been n en een been NOCAPS NODIGIT 0 NOPUNCT been xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
studied studied s st stu stud d ed ied died NOCAPS NODIGIT 0 NOPUNCT studied xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
by by b by by by y by by by NOCAPS NODIGIT 0 NOPUNCT by xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
means means m me mea mean s ns ans eans NOCAPS NODIGIT 0 NOPUNCT means xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
of of o of of of f of of of NOCAPS NODIGIT 0 NOPUNCT of xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
muon muon m mu muo muon n on uon muon NOCAPS NODIGIT 0 NOPUNCT muon xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
spin spin s sp spi spin n in pin spin NOCAPS NODIGIT 0 NOPUNCT spin xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
rotation rotation r ro rot rota n on ion tion NOCAPS NODIGIT 0 NOPUNCT rotation xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
/ / / / / / / / / / ALLCAPS NODIGIT 1 NOPUNCT / / / SAMEFONT SAMEFONTSIZE false false BASELINE false
relaxation relaxation r re rel rela n on ion tion NOCAPS NODIGIT 0 NOPUNCT relaxation xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
( ( ( ( ( ( ( ( ( ( ALLCAPS NODIGIT 1 OPENBRACKET ( ( ( SAMEFONT SAMEFONTSIZE false false BASELINE false
µSR µsr µ µS µSR µSR R SR µSR µSR NOCAPS NODIGIT 0 NOPUNCT µSR xXX xX SAMEFONT SAMEFONTSIZE false false BASELINE false
) ) ) ) ) ) ) ) ) ) ALLCAPS NODIGIT 1 ENDBRACKET ) ) ) SAMEFONT SAMEFONTSIZE false false BASELINE false
. . . . . . . . . . ALLCAPS NODIGIT 1 DOT . . . SAMEFONT SAMEFONTSIZE false false BASELINE false
The the T Th The The e he The The INITCAP NODIGIT 0 NOPUNCT The Xxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
tempera tempera t te tem temp a ra era pera NOCAPS NODIGIT 0 NOPUNCT tempera xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
- - - - - - - - - - ALLCAPS NODIGIT 1 HYPHEN - - - SAMEFONT SAMEFONTSIZE false false BASELINE false
ture ture t tu tur ture e re ure ture NOCAPS NODIGIT 0 NOPUNCT ture xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
dependence dependence d de dep depe e ce nce ence NOCAPS NODIGIT 0 NOPUNCT dependence xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
of of o of of of f of of of NOCAPS NODIGIT 0 NOPUNCT of xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
the the t th the the e he the the NOCAPS NODIGIT 0 NOPUNCT the xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
magnetic magnetic m ma mag magn c ic tic etic NOCAPS NODIGIT 0 NOPUNCT magnetic xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
penetration penetration p pe pen pene n on ion tion NOCAPS NODIGIT 0 NOPUNCT penetration xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
depth depth d de dep dept h th pth epth NOCAPS NODIGIT 0 NOPUNCT depth xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
( ( ( ( ( ( ( ( ( ( ALLCAPS NODIGIT 1 OPENBRACKET ( ( ( SAMEFONT SAMEFONTSIZE false false BASELINE false
λ λ λ λ λ λ λ λ λ λ NOCAPS NODIGIT 1 NOPUNCT λ x x SAMEFONT SAMEFONTSIZE false false BASELINE false
) ) ) ) ) ) ) ) ) ) ALLCAPS NODIGIT 1 ENDBRACKET ) ) ) SAMEFONT SAMEFONTSIZE false false BASELINE false
is is i is is is s is is is NOCAPS NODIGIT 0 NOPUNCT is xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
consistent consistent c co con cons t nt ent tent NOCAPS NODIGIT 0 NOPUNCT consistent xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
with with w wi wit with h th ith with NOCAPS NODIGIT 0 NOPUNCT with xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
a a a a a a a a a a NOCAPS NODIGIT 1 NOPUNCT a x x SAMEFONT SAMEFONTSIZE false false BASELINE false
nearly nearly n ne nea near y ly rly arly NOCAPS NODIGIT 0 NOPUNCT nearly xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
isotropic isotropic i is iso isot c ic pic opic NOCAPS NODIGIT 0 NOPUNCT isotropic xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
superconducting superconducting s su sup supe g ng ing ting NOCAPS NODIGIT 0 NOPUNCT superconducting xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
order order o or ord orde r er der rder NOCAPS NODIGIT 0 NOPUNCT order xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
parameter parameter p pa par para r er ter eter NOCAPS NODIGIT 0 NOPUNCT parameter xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
, , , , , , , , , , ALLCAPS NODIGIT 1 COMMA , , , SAMEFONT SAMEFONTSIZE false false BASELINE false
although although a al alt alth h gh ugh ough NOCAPS NODIGIT 0 NOPUNCT although xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
a a a a a a a a a a NOCAPS NODIGIT 1 NOPUNCT a x x SAMEFONT SAMEFONTSIZE false false BASELINE false
slight slight s sl sli slig t ht ght ight NOCAPS NODIGIT 0 NOPUNCT slight xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
dis dis d di dis dis s is dis dis NOCAPS NODIGIT 0 NOPUNCT dis xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
- - - - - - - - - - ALLCAPS NODIGIT 1 HYPHEN - - - SAMEFONT SAMEFONTSIZE false false BASELINE false
crepancy crepancy c cr cre crep y cy ncy ancy NOCAPS NODIGIT 0 NOPUNCT crepancy xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
which which w wh whi whic h ch ich hich NOCAPS NODIGIT 0 NOPUNCT which xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
is is i is is is s is is is NOCAPS NODIGIT 0 NOPUNCT is xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
dependent dependent d de dep depe t nt ent dent NOCAPS NODIGIT 0 NOPUNCT dependent xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
on on o on on on n on on on NOCAPS NODIGIT 0 NOPUNCT on xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
the the t th the the e he the the NOCAPS NODIGIT 0 NOPUNCT the xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
details details d de det deta s ls ils ails NOCAPS NODIGIT 0 NOPUNCT details xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
in in i in in in n in in in NOCAPS NODIGIT 0 NOPUNCT in xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
the the t th the the e he the the NOCAPS NODIGIT 0 NOPUNCT the xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
analysis analysis a an ana anal s is sis ysis NOCAPS NODIGIT 0 NOPUNCT analysis xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
may may m ma may may y ay may may NOCAPS NODIGIT 0 NOPUNCT may xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
be be b be be be e be be be NOCAPS NODIGIT 0 NOPUNCT be xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
present present p pr pre pres t nt ent sent NOCAPS NODIGIT 0 NOPUNCT present xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
. . . . . . . . . . ALLCAPS NODIGIT 1 DOT . . . SAMEFONT SAMEFONTSIZE false false BASELINE false
This this T Th Thi This s is his This INITCAP NODIGIT 0 NOPUNCT This Xxxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
is is i is is is s is is is NOCAPS NODIGIT 0 NOPUNCT is xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
also also a al als also o so lso also NOCAPS NODIGIT 0 NOPUNCT also xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
supported supported s su sup supp d ed ted rted NOCAPS NODIGIT 0 NOPUNCT supported xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
by by b by by by y by by by NOCAPS NODIGIT 0 NOPUNCT by xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
the the t th the the e he the the NOCAPS NODIGIT 0 NOPUNCT the xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
relatively relatively r re rel rela y ly ely vely NOCAPS NODIGIT 0 NOPUNCT relatively xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
weak weak w we wea weak k ak eak weak NOCAPS NODIGIT 0 NOPUNCT weak xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
field field f fi fie fiel d ld eld ield NOCAPS NODIGIT 0 NOPUNCT field xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
dependence dependence d de dep depe e ce nce ence NOCAPS NODIGIT 0 NOPUNCT dependence xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
of of o of of of f of of of NOCAPS NODIGIT 0 NOPUNCT of xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
λ λ λ λ λ λ λ λ λ λ NOCAPS NODIGIT 1 NOPUNCT λ x x DIFFERENTFONT SAMEFONTSIZE false false BASELINE false
. . . . . . . . . . ALLCAPS NODIGIT 1 DOT . . . SAMEFONT SAMEFONTSIZE false false BASELINE false

A a A A A A A A A A ALLCAPS NODIGIT 1 NOPUNCT A X X DIFFERENTFONT HIGHERFONT false false BASELINE false
class class c cl cla clas s ss ass lass NOCAPS NODIGIT 0 NOPUNCT class xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
of of o of of of f of of of NOCAPS NODIGIT 0 NOPUNCT of xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
metal metal m me met meta l al tal etal NOCAPS NODIGIT 0 NOPUNCT metal xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE true
oxides oxides o ox oxi oxid s es des ides NOCAPS NODIGIT 0 NOPUNCT oxides xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE true
isostructural isostructural i is iso isos l al ral ural NOCAPS NODIGIT 0 NOPUNCT isostructural xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
to to t to to to o to to to NOCAPS NODIGIT 0 NOPUNCT to xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
mineral mineral m mi min mine l al ral eral NOCAPS NODIGIT 0 NOPUNCT mineral xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
pyrochlore pyrochlore p py pyr pyro e re ore lore NOCAPS NODIGIT 0 NOPUNCT pyrochlore xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE true
has has h ha has has s as has has NOCAPS NODIGIT 0 NOPUNCT has xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
been been b be bee been n en een been NOCAPS NODIGIT 0 NOPUNCT been xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
attracting attracting a at att attr g ng ing ting NOCAPS NODIGIT 0 NOPUNCT attracting xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
consid consid c co con cons d id sid nsid NOCAPS NODIGIT 0 NOPUNCT consid xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
- - - - - - - - - - ALLCAPS NODIGIT 1 HYPHEN - - - SAMEFONT SAMEFONTSIZE false false BASELINE false
erable erable e er era erab e le ble able NOCAPS NODIGIT 0 NOPUNCT erable xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
attention attention a at att atte n on ion tion NOCAPS NODIGIT 0 NOPUNCT attention xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
because because b be bec beca e se use ause NOCAPS NODIGIT 0 NOPUNCT because xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
they they t th the they y ey hey they NOCAPS NODIGIT 0 NOPUNCT they xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
exhibit exhibit e ex exh exhi t it bit ibit NOCAPS NODIGIT 0 NOPUNCT exhibit xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
a a a a a a a a a a NOCAPS NODIGIT 1 NOPUNCT a x x SAMEFONT SAMEFONTSIZE false false BASELINE false
wide wide w wi wid wide e de ide wide NOCAPS NODIGIT 0 NOPUNCT wide xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
variety variety v va var vari y ty ety iety NOCAPS NODIGIT 0 NOPUNCT variety xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
of of o of of of f of of of NOCAPS NODIGIT 0 NOPUNCT of xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
interesting interesting i in int inte g ng ing ting NOCAPS NODIGIT 0 NOPUNCT interesting xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
physical physical p ph phy phys l al cal ical NOCAPS NODIGIT 0 NOPUNCT physical xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
properties properties p pr pro prop s es ies ties NOCAPS NODIGIT 0 NOPUNCT properties xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
. . . . . . . . . . ALLCAPS NODIGIT 1 DOT . . . SAMEFONT SAMEFONTSIZE false false BASELINE false
The the T Th The The e he The The INITCAP NODIGIT 0 NOPUNCT The Xxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
pyrochlore pyrochlore p py pyr pyro e re ore lore NOCAPS NODIGIT 0 NOPUNCT pyrochlore xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE true
has has h ha has has s as has has NOCAPS NODIGIT 0 NOPUNCT has xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
a a a a a a a a a a NOCAPS NODIGIT 1 NOPUNCT a x x SAMEFONT SAMEFONTSIZE false false BASELINE false
general general g ge gen gene l al ral eral NOCAPS NODIGIT 0 NOPUNCT general xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
formula formula f fo for form a la ula mula NOCAPS NODIGIT 0 NOPUNCT formula xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
of of o of of of f of of of NOCAPS NODIGIT 0 NOPUNCT of xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
A a A A A A A A A A ALLCAPS NODIGIT 1 NOPUNCT A X X SAMEFONT SAMEFONTSIZE false false BASELINE false
