Gap gap G Ga Gap Gap p ap Gap Gap INITCAP NODIGIT 0 NOPUNCT Gap Xxx Xx DIFFERENTFONT HIGHERFONT true false BASELINE false
Anisotropy anisotropy A An Ani Anis y py opy ropy INITCAP NODIGIT 0 NOPUNCT Anisotropy Xxxx Xx SAMEFONT SAMEFONTSIZE true false BASELINE false
, , , , , , , , , , ALLCAPS NODIGIT 1 COMMA , , , SAMEFONT SAMEFONTSIZE true false BASELINE false
Spin spin S Sp Spi Spin n in pin Spin INITCAP NODIGIT 0 NOPUNCT Spin Xxxx Xx SAMEFONT SAMEFONTSIZE true false BASELINE false
Fluctuations fluctuations F Fl Flu Fluc s ns ons ions INITCAP NODIGIT 0 NOPUNCT Fluctuations Xxxx Xx SAMEFONT SAMEFONTSIZE true false BASELINE false
and and a an and and d nd and and NOCAPS NODIGIT 0 NOPUNCT and xxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
Normal normal N No Nor Norm l al mal rmal INITCAP NODIGIT 0 NOPUNCT Normal Xxxx Xx SAMEFONT SAMEFONTSIZE true false BASELINE false
- - - - - - - - - - ALLCAPS NODIGIT 1 HYPHEN - - - SAMEFONT SAMEFONTSIZE true false BASELINE false
State state S St Sta Stat e te ate tate INITCAP NODIGIT 0 NOPUNCT State Xxxx Xx SAMEFONT SAMEFONTSIZE true false BASELINE false
Properties properties P Pr Pro Prop s es ies ties INITCAP NODIGIT 0 NOPUNCT Properties Xxxx Xx SAMEFONT SAMEFONTSIZE true false BASELINE false
of of o of of of f of of of NOCAPS NODIGIT 0 NOPUNCT of xx x SAMEFONT SAMEFONTSIZE true false BASELINE false
the the t th the the e he the the NOCAPS NODIGIT 0 NOPUNCT the xxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
Electron electron E El Ele Elec n on ron tron INITCAP NODIGIT 0 NOPUNCT Electron Xxxx Xx SAMEFONT SAMEFONTSIZE true false BASELINE false
Doped doped D Do Dop Dope d ed ped oped INITCAP NODIGIT 0 NOPUNCT Doped Xxxx Xx SAMEFONT SAMEFONTSIZE true false BASELINE false
Superconductor superconductor S Su Sup Supe r or tor ctor INITCAP NODIGIT 0 NOPUNCT Superconductor Xxxx Xx SAMEFONT SAMEFONTSIZE true false BASELINE false
Sr sr S Sr Sr Sr r Sr Sr Sr INITCAP NODIGIT 0 NOPUNCT Sr Xx Xx SAMEFONT SAMEFONTSIZE true false BASELINE false
0 0 0 0 0 0 0 0 0 0 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT LOWERFONT true false SUBSCRIPT false
. . . . . . . . . . ALLCAPS NODIGIT 1 DOT . . . SAMEFONT SAMEFONTSIZE true false SUBSCRIPT false
9 9 9 9 9 9 9 9 9 9 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT SAMEFONTSIZE true false SUBSCRIPT false
La la L La La La a La La La INITCAP NODIGIT 0 NOPUNCT La Xx Xx SAMEFONT HIGHERFONT true false BASELINE true
0 0 0 0 0 0 0 0 0 0 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT LOWERFONT true false SUBSCRIPT false
. . . . . . . . . . ALLCAPS NODIGIT 1 DOT . . . SAMEFONT SAMEFONTSIZE true false SUBSCRIPT false
1 1 1 1 1 1 1 1 1 1 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT SAMEFONTSIZE true false SUBSCRIPT false
CuO cuo C Cu CuO CuO O uO CuO CuO INITCAP NODIGIT 0 NOPUNCT CuO XxX XxX SAMEFONT HIGHERFONT true false BASELINE false
2 2 2 2 2 2 2 2 2 2 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT LOWERFONT true false SUBSCRIPT false


We we W We We We e We We We INITCAP NODIGIT 0 NOPUNCT We Xx Xx DIFFERENTFONT HIGHERFONT false false BASELINE false
report report r re rep repo t rt ort port NOCAPS NODIGIT 0 NOPUNCT report xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
