THE the T TH THE THE E HE THE THE ALLCAPS NODIGIT 0 NOPUNCT THE XXX X DIFFERENTFONT LOWERFONT false false BASELINE false
CRYSTAL crystal C CR CRY CRYS L AL TAL STAL ALLCAPS NODIGIT 0 NOPUNCT CRYSTAL XXXX X SAMEFONT SAMEFONTSIZE false false BASELINE false
- - - - - - - - - - ALLCAPS NODIGIT 1 HYPHEN - - - SAMEFONT SAMEFONTSIZE false false BASELINE false
STRUCTURE structure S ST STR STRU E RE URE TURE ALLCAPS NODIGIT 0 NOPUNCT STRUCTURE XXXX X SAMEFONT SAMEFONTSIZE false false BASELINE false
OF of O OF OF OF F OF OF OF ALLCAPS NODIGIT 0 NOPUNCT OF XX X SAMEFONT SAMEFONTSIZE false false BASELINE false
SUPERCONDUCTING superconducting S SU SUP SUPE G NG ING TING ALLCAPS NODIGIT 0 NOPUNCT SUPERCONDUCTING XXXX X SAMEFONT SAMEFONTSIZE false false BASELINE false
LA la L LA LA LA A LA LA LA ALLCAPS NODIGIT 0 NOPUNCT LA XX X SAMEFONT SAMEFONTSIZE false false BASELINE false
2 2 2 2 2 2 2 2 2 2 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT SAMEFONTSIZE false false BASELINE false
CUO cuo C CU CUO CUO O UO CUO CUO ALLCAPS NODIGIT 0 NOPUNCT CUO XXX X SAMEFONT SAMEFONTSIZE false false BASELINE false
4 4 4 4 4 4 4 4 4 4 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT SAMEFONTSIZE false false BASELINE false
. . . . . . . . . . ALLCAPS NODIGIT 1 DOT . . . SAMEFONT SAMEFONTSIZE false false BASELINE false
032 032 0 03 032 032 2 32 032 032 NOCAPS ALLDIGIT 0 NOPUNCT XXX ddd d SAMEFONT SAMEFONTSIZE false false BASELINE false
BY by B BY BY BY Y BY BY BY ALLCAPS NODIGIT 0 NOPUNCT BY XX X SAMEFONT SAMEFONTSIZE false false BASELINE false
NEUTRON neutron N NE NEU NEUT N ON RON TRON ALLCAPS NODIGIT 0 NOPUNCT NEUTRON XXXX X SAMEFONT SAMEFONTSIZE false false BASELINE false
- - - - - - - - - - ALLCAPS NODIGIT 1 HYPHEN - - - SAMEFONT SAMEFONTSIZE false false BASELINE false
DIFFRACTION diffraction D DI DIF DIFF N ON ION TION ALLCAPS NODIGIT 0 NOPUNCT DIFFRACTION XXXX X SAMEFONT SAMEFONTSIZE false false BASELINE false


The the T Th The The e he The The INITCAP NODIGIT 0 NOPUNCT The Xxx Xx DIFFERENTFONT HIGHERFONT true false BASELINE false
