EFFECT effect E EF EFF EFFE T CT ECT FECT ALLCAPS NODIGIT 0 NOPUNCT EFFECT XXXX X DIFFERENTFONT HIGHERFONT true false BASELINE false
OF of O OF OF OF F OF OF OF ALLCAPS NODIGIT 0 NOPUNCT OF XX X SAMEFONT SAMEFONTSIZE true false BASELINE false
Mo mo M Mo Mo Mo o Mo Mo Mo INITCAP NODIGIT 0 NOPUNCT Mo Xx Xx SAMEFONT SAMEFONTSIZE true false BASELINE true
- - - - - - - - - - ALLCAPS NODIGIT 1 HYPHEN - - - SAMEFONT SAMEFONTSIZE true false BASELINE false
SUBSTITUTION substitution S SU SUB SUBS N ON ION TION ALLCAPS NODIGIT 0 NOPUNCT SUBSTITUTION XXXX X SAMEFONT SAMEFONTSIZE true false BASELINE false
ON on O ON ON ON N ON ON ON ALLCAPS NODIGIT 0 NOPUNCT ON XX X SAMEFONT SAMEFONTSIZE true false BASELINE false
SUPERCONDUCTIVITY superconductivity S SU SUP SUPE Y TY ITY VITY ALLCAPS NODIGIT 0 NOPUNCT SUPERCONDUCTIVITY XXXX X SAMEFONT SAMEFONTSIZE true false BASELINE false
, , , , , , , , , , ALLCAPS NODIGIT 1 COMMA , , , SAMEFONT SAMEFONTSIZE true false BASELINE false
FLUX flux F FL FLU FLUX X UX LUX FLUX ALLCAPS NODIGIT 0 NOPUNCT FLUX XXXX X SAMEFONT SAMEFONTSIZE true false BASELINE false
PINNING pinning P PI PIN PINN G NG ING NING ALLCAPS NODIGIT 0 NOPUNCT PINNING XXXX X SAMEFONT SAMEFONTSIZE true false BASELINE false
AND and A AN AND AND D ND AND AND ALLCAPS NODIGIT 0 NOPUNCT AND XXX X SAMEFONT SAMEFONTSIZE true false BASELINE false
CRITICAL critical C CR CRI CRIT L AL CAL ICAL ALLCAPS NODIGIT 0 NOPUNCT CRITICAL XXXX X SAMEFONT SAMEFONTSIZE true false BASELINE false
CURRENTS currents C CU CUR CURR S TS NTS ENTS ALLCAPS NODIGIT 0 NOPUNCT CURRENTS XXXX X SAMEFONT SAMEFONTSIZE true false BASELINE false
OF of O OF OF OF F OF OF OF ALLCAPS NODIGIT 0 NOPUNCT OF XX X SAMEFONT SAMEFONTSIZE true false BASELINE false
La la L La La La a La La La INITCAP NODIGIT 0 NOPUNCT La Xx Xx SAMEFONT SAMEFONTSIZE true false BASELINE false
1 1 1 1 1 1 1 1 1 1 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT LOWERFONT true false SUBSCRIPT false
. . . . . . . . . . ALLCAPS NODIGIT 1 DOT . . . SAMEFONT SAMEFONTSIZE true false SUBSCRIPT false
5 5 5 5 5 5 5 5 5 5 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT SAMEFONTSIZE true false SUBSCRIPT false
Nd nd N Nd Nd Nd d Nd Nd Nd INITCAP NODIGIT 0 NOPUNCT Nd Xx Xx SAMEFONT HIGHERFONT true false BASELINE false
0 0 0 0 0 0 0 0 0 0 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT LOWERFONT true false SUBSCRIPT false
. . . . . . . . . . ALLCAPS NODIGIT 1 DOT . . . SAMEFONT SAMEFONTSIZE true false SUBSCRIPT false
5 5 5 5 5 5 5 5 5 5 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT SAMEFONTSIZE true false SUBSCRIPT false
Ca ca C Ca Ca Ca a Ca Ca Ca INITCAP NODIGIT 0 NOPUNCT Ca Xx Xx SAMEFONT HIGHERFONT true false BASELINE true
1 1 1 1 1 1 1 1 1 1 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT LOWERFONT true false SUBSCRIPT false
Ba ba B Ba Ba Ba a Ba Ba Ba INITCAP NODIGIT 0 NOPUNCT Ba Xx Xx SAMEFONT HIGHERFONT true false BASELINE true
2 2 2 2 2 2 2 2 2 2 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT LOWERFONT true false SUBSCRIPT false
Cu cu C Cu Cu Cu u Cu Cu Cu INITCAP NODIGIT 0 NOPUNCT Cu Xx Xx SAMEFONT HIGHERFONT true false BASELINE true
5 5 5 5 5 5 5 5 5 5 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT LOWERFONT true false SUBSCRIPT true
O o O O O O O O O O ALLCAPS NODIGIT 1 NOPUNCT O X X SAMEFONT HIGHERFONT true false BASELINE false
z z z z z z z z z z NOCAPS NODIGIT 1 NOPUNCT z x x SAMEFONT LOWERFONT true false SUBSCRIPT false


Mo mo M Mo Mo Mo o Mo Mo Mo INITCAP NODIGIT 0 NOPUNCT Mo Xx Xx DIFFERENTFONT HIGHERFONT false false BASELINE true
- - - - - - - - - - ALLCAPS NODIGIT 1 HYPHEN - - - SAMEFONT SAMEFONTSIZE false false BASELINE true
substituted substituted s su sub subs d ed ted uted NOCAPS NODIGIT 0 NOPUNCT substituted xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE true
triple triple t tr tri trip e le ple iple NOCAPS NODIGIT 0 NOPUNCT triple xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE true
perovskite perovskite p pe per pero e te ite kite NOCAPS NODIGIT 0 NOPUNCT perovskite xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE true
superconducting superconducting s su sup supe g ng ing ting NOCAPS NODIGIT 0 NOPUNCT superconducting xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
samples samples s sa sam samp s es les ples NOCAPS NODIGIT 0 NOPUNCT samples xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
with with w wi wit with h th ith with NOCAPS NODIGIT 0 NOPUNCT with xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
stoichiometric stoichiometric s st sto stoi c ic ric tric NOCAPS NODIGIT 0 NOPUNCT stoichiometric xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
composition composition c co com comp n on ion tion NOCAPS NODIGIT 0 NOPUNCT composition xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
La la L La La La a La La La INITCAP NODIGIT 0 NOPUNCT La Xx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
1 1 1 1 1 1 1 1 1 1 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT LOWERFONT false false SUBSCRIPT false
. . . . . . . . . . ALLCAPS NODIGIT 1 DOT . . . SAMEFONT SAMEFONTSIZE false false SUBSCRIPT false
5 5 5 5 5 5 5 5 5 5 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT SAMEFONTSIZE false false SUBSCRIPT false
