Enhancing enhancing E En Enh Enha g ng ing cing INITCAP NODIGIT 0 NOPUNCT Enhancing Xxxx Xx DIFFERENTFONT HIGHERFONT false false BASELINE false
the the t th the the e he the the NOCAPS NODIGIT 0 NOPUNCT the xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
Superconducting superconducting S Su Sup Supe g ng ing ting INITCAP NODIGIT 0 NOPUNCT Superconducting Xxxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
Transition transition T Tr Tra Tran n on ion tion INITCAP NODIGIT 0 NOPUNCT Transition Xxxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
Temperature temperature T Te Tem Temp e re ure ture INITCAP NODIGIT 0 NOPUNCT Temperature Xxxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
in in i in in in n in in in NOCAPS NODIGIT 0 NOPUNCT in xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
the the t th the the e he the the NOCAPS NODIGIT 0 NOPUNCT the xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
Absence absence A Ab Abs Abse e ce nce ence INITCAP NODIGIT 0 NOPUNCT Absence Xxxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
of of o of of of f of of of NOCAPS NODIGIT 0 NOPUNCT of xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
Spin spin S Sp Spi Spin n in pin Spin INITCAP NODIGIT 0 NOPUNCT Spin Xxxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
Correlations correlations C Co Cor Corr s ns ons ions INITCAP NODIGIT 0 NOPUNCT Correlations Xxxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
in in i in in in n in in in NOCAPS NODIGIT 0 NOPUNCT in xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
Heavy heavy H He Hea Heav y vy avy eavy INITCAP NODIGIT 0 NOPUNCT Heavy Xxxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
Fermion fermion F Fe Fer Ferm n on ion mion INITCAP NODIGIT 0 NOPUNCT Fermion Xxxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
Compound compound C Co Com Comp d nd und ound INITCAP NODIGIT 0 NOPUNCT Compound Xxxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
CeIrIn ceirin C Ce CeI CeIr n In rIn IrIn INITCAP NODIGIT 0 NOPUNCT CeIrIn XxXxXx XxXxXx SAMEFONT SAMEFONTSIZE false false BASELINE false
5 5 5 5 5 5 5 5 5 5 NOCAPS ALLDIGIT 1 NOPUNCT X d d DIFFERENTFONT LOWERFONT false false SUBSCRIPT false


We we W We We We e We We We INITCAP NODIGIT 0 NOPUNCT We Xx Xx DIFFERENTFONT HIGHERFONT false false BASELINE false
report report r re rep repo t rt ort port NOCAPS NODIGIT 0 NOPUNCT report xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
on on o on on on n on on on NOCAPS NODIGIT 0 NOPUNCT on xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
a a a a a a a a a a NOCAPS NODIGIT 1 NOPUNCT a x x SAMEFONT SAMEFONTSIZE false false BASELINE false
pressure pressure p pr pre pres e re ure sure NOCAPS NODIGIT 0 NOPUNCT pressure xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
( ( ( ( ( ( ( ( ( ( ALLCAPS NODIGIT 1 OPENBRACKET ( ( ( SAMEFONT SAMEFONTSIZE false false BASELINE false
P p P P P P P P P P ALLCAPS NODIGIT 1 NOPUNCT P X X SAMEFONT SAMEFONTSIZE false false BASELINE false
) ) ) ) ) ) ) ) ) ) ALLCAPS NODIGIT 1 ENDBRACKET ) ) ) SAMEFONT SAMEFONTSIZE false false BASELINE false
- - - - - - - - - - ALLCAPS NODIGIT 1 HYPHEN - - - SAMEFONT SAMEFONTSIZE false false BASELINE false
induced induced i in ind indu d ed ced uced NOCAPS NODIGIT 0 NOPUNCT induced xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
evolution evolution e ev evo evol n on ion tion NOCAPS NODIGIT 0 NOPUNCT evolution xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
of of o of of of f of of of NOCAPS NODIGIT 0 NOPUNCT of xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
superconductivity superconductivity s su sup supe y ty ity vity NOCAPS NODIGIT 0 NOPUNCT superconductivity xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
and and a an and and d nd and and NOCAPS NODIGIT 0 NOPUNCT and xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
spin spin s sp spi spin n in pin spin NOCAPS NODIGIT 0 NOPUNCT spin xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
correlations correlations c co cor corr s ns ons ions NOCAPS NODIGIT 0 NOPUNCT correlations xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
in in i in in in n in in in NOCAPS NODIGIT 0 NOPUNCT in xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
CeIrIn ceirin C Ce CeI CeIr n In rIn IrIn INITCAP NODIGIT 0 NOPUNCT CeIrIn XxXxXx XxXxXx SAMEFONT SAMEFONTSIZE false false BASELINE false
5 5 5 5 5 5 5 5 5 5 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT SAMEFONTSIZE false false BASELINE false
via via v vi via via a ia via via NOCAPS NODIGIT 0 NOPUNCT via xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
the the t th the the e he the the NOCAPS NODIGIT 0 NOPUNCT the xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
115 115 1 11 115 115 5 15 115 115 NOCAPS ALLDIGIT 0 NOPUNCT XXX ddd d DIFFERENTFONT LOWERFONT false false SUPERSCRIPT false
In in I In In In n In In In INITCAP NODIGIT 0 NOPUNCT In Xx Xx DIFFERENTFONT HIGHERFONT false false BASELINE false
nuclear nuclear n nu nuc nucl r ar ear lear NOCAPS NODIGIT 0 NOPUNCT nuclear xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
- - - - - - - - - - ALLCAPS NODIGIT 1 HYPHEN - - - SAMEFONT SAMEFONTSIZE false false BASELINE false
spin spin s sp spi spin n in pin spin NOCAPS NODIGIT 0 NOPUNCT spin xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
- - - - - - - - - - ALLCAPS NODIGIT 1 HYPHEN - - - SAMEFONT SAMEFONTSIZE false false BASELINE false
lattice lattice l la lat latt e ce ice tice NOCAPS NODIGIT 0 NOPUNCT lattice xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
- - - - - - - - - - ALLCAPS NODIGIT 1 HYPHEN - - - SAMEFONT SAMEFONTSIZE false false BASELINE false
relaxation relaxation r re rel rela n on ion tion NOCAPS NODIGIT 0 NOPUNCT relaxation xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
rate rate r ra rat rate e te ate rate NOCAPS NODIGIT 0 NOPUNCT rate xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
measurements measurements m me mea meas s ts nts ents NOCAPS NODIGIT 0 NOPUNCT measurements xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
. . . . . . . . . . ALLCAPS NODIGIT 1 DOT . . . SAMEFONT SAMEFONTSIZE false false BASELINE false
We we W We We We e We We We INITCAP NODIGIT 0 NOPUNCT We Xx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
find find f fi fin find d nd ind find NOCAPS NODIGIT 0 NOPUNCT find xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
that that t th tha that t at hat that NOCAPS NODIGIT 0 NOPUNCT that xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
applying applying a ap app appl g ng ing ying NOCAPS NODIGIT 0 NOPUNCT applying xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
pressure pressure p pr pre pres e re ure sure NOCAPS NODIGIT 0 NOPUNCT pressure xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
suppresses suppresses s su sup supp s es ses sses NOCAPS NODIGIT 0 NOPUNCT suppresses xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
