WIGNER wigner W WI WIG WIGN R ER NER GNER ALLCAPS NODIGIT 0 NOPUNCT WIGNER XXXX X DIFFERENTFONT HIGHERFONT false false BASELINE false
LATTICE lattice L LA LAT LATT E CE ICE TICE ALLCAPS NODIGIT 0 NOPUNCT LATTICE XXXX X SAMEFONT SAMEFONTSIZE false false BASELINE false
ORDER order O OR ORD ORDE R ER DER RDER ALLCAPS NODIGIT 0 NOPUNCT ORDER XXXX X SAMEFONT SAMEFONTSIZE false false BASELINE false
, , , , , , , , , , ALLCAPS NODIGIT 1 COMMA , , , SAMEFONT SAMEFONTSIZE false false BASELINE false
COLLECTIVE collective C CO COL COLL E VE IVE TIVE ALLCAPS NODIGIT 0 NOPUNCT COLLECTIVE XXXX X SAMEFONT SAMEFONTSIZE false false BASELINE false
MODE mode M MO MOD MODE E DE ODE MODE ALLCAPS NODIGIT 0 NOPUNCT MODE XXXX X SAMEFONT SAMEFONTSIZE false false BASELINE false
, , , , , , , , , , ALLCAPS NODIGIT 1 COMMA , , , SAMEFONT SAMEFONTSIZE false false BASELINE false
AND and A AN AND AND D ND AND AND ALLCAPS NODIGIT 0 NOPUNCT AND XXX X SAMEFONT SAMEFONTSIZE false false BASELINE false
SUPERCONDUCTIVITY superconductivity S SU SUP SUPE Y TY ITY VITY ALLCAPS NODIGIT 0 NOPUNCT SUPERCONDUCTIVITY XXXX X SAMEFONT SAMEFONTSIZE false false BASELINE false
IN in I IN IN IN N IN IN IN ALLCAPS NODIGIT 0 NOPUNCT IN XX X SAMEFONT SAMEFONTSIZE false false BASELINE false
LA la L LA LA LA A LA LA LA ALLCAPS NODIGIT 0 NOPUNCT LA XX X SAMEFONT SAMEFONTSIZE false false BASELINE false
1 1 1 1 1 1 1 1 1 1 NOCAPS ALLDIGIT 1 NOPUNCT X d d DIFFERENTFONT LOWERFONT false false SUBSCRIPT false
. . . . . . . . . . ALLCAPS NODIGIT 1 DOT . . . SAMEFONT SAMEFONTSIZE false false SUBSCRIPT false
985 985 9 98 985 985 5 85 985 985 NOCAPS ALLDIGIT 0 NOPUNCT XXX ddd d SAMEFONT SAMEFONTSIZE false false SUBSCRIPT false
SR sr S SR SR SR R SR SR SR ALLCAPS NODIGIT 0 NOPUNCT SR XX X DIFFERENTFONT HIGHERFONT false false BASELINE false
0 0 0 0 0 0 0 0 0 0 NOCAPS ALLDIGIT 1 NOPUNCT X d d DIFFERENTFONT LOWERFONT false false SUBSCRIPT false
. . . . . . . . . . ALLCAPS NODIGIT 1 DOT . . . SAMEFONT SAMEFONTSIZE false false SUBSCRIPT false
015 015 0 01 015 015 5 15 015 015 NOCAPS ALLDIGIT 0 NOPUNCT XXX ddd d SAMEFONT SAMEFONTSIZE false false SUBSCRIPT false
CUO cuo C CU CUO CUO O UO CUO CUO ALLCAPS NODIGIT 0 NOPUNCT CUO XXX X DIFFERENTFONT HIGHERFONT false false BASELINE false
4 4 4 4 4 4 4 4 4 4 NOCAPS ALLDIGIT 1 NOPUNCT X d d DIFFERENTFONT LOWERFONT false false SUBSCRIPT false
+ + + + + + + + + + ALLCAPS NODIGIT 1 NOPUNCT + + + SAMEFONT SAMEFONTSIZE false false SUBSCRIPT false
δ δ δ δ δ δ δ δ δ δ NOCAPS NODIGIT 1 NOPUNCT δ x x SAMEFONT SAMEFONTSIZE false false SUBSCRIPT false
SYSTEM system S SY SYS SYST M EM TEM STEM ALLCAPS NODIGIT 0 NOPUNCT SYSTEM XXXX X DIFFERENTFONT HIGHERFONT false false BASELINE false


We we W We We We e We We We INITCAP NODIGIT 0 NOPUNCT We Xx Xx DIFFERENTFONT HIGHERFONT false false BASELINE false
have have h ha hav have e ve ave have NOCAPS NODIGIT 0 NOPUNCT have xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
studied studied s st stu stud d ed ied died NOCAPS NODIGIT 0 NOPUNCT studied xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
far far f fa far far r ar far far NOCAPS NODIGIT 0 NOPUNCT far xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
- - - - - - - - - - ALLCAPS NODIGIT 1 HYPHEN - - - SAMEFONT SAMEFONTSIZE false false BASELINE false
infrared infrared i in inf infr d ed red ared NOCAPS NODIGIT 0 NOPUNCT infrared xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
charge charge c ch cha char e ge rge arge NOCAPS NODIGIT 0 NOPUNCT charge xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
dynamics dynamics d dy dyn dyna s cs ics mics NOCAPS NODIGIT 0 NOPUNCT dynamics xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
of of o of of of f of of of NOCAPS NODIGIT 0 NOPUNCT of xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
Sr sr S Sr Sr Sr r Sr Sr Sr INITCAP NODIGIT 0 NOPUNCT Sr Xx Xx SAMEFONT SAMEFONTSIZE false false BASELINE true
- - - - - - - - - - ALLCAPS NODIGIT 1 HYPHEN - - - SAMEFONT SAMEFONTSIZE false false BASELINE false
and and a an and and d nd and and NOCAPS NODIGIT 0 NOPUNCT and xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
O o O O O O O O O O ALLCAPS NODIGIT 1 NOPUNCT O X X SAMEFONT SAMEFONTSIZE false false BASELINE false
- - - - - - - - - - ALLCAPS NODIGIT 1 HYPHEN - - - SAMEFONT SAMEFONTSIZE false false BASELINE false
