Non non N No Non Non n on Non Non INITCAP NODIGIT 0 NOPUNCT Non Xxx Xx DIFFERENTFONT HIGHERFONT false false BASELINE false
- - - - - - - - - - ALLCAPS NODIGIT 1 HYPHEN - - - SAMEFONT SAMEFONTSIZE false false BASELINE false
linear linear l li lin line r ar ear near NOCAPS NODIGIT 0 NOPUNCT linear xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
Temperature temperature T Te Tem Temp e re ure ture INITCAP NODIGIT 0 NOPUNCT Temperature Xxxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
Dependence dependence D De Dep Depe e ce nce ence INITCAP NODIGIT 0 NOPUNCT Dependence Xxxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
of of o of of of f of of of NOCAPS NODIGIT 0 NOPUNCT of xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
Resistivity resistivity R Re Res Resi y ty ity vity INITCAP NODIGIT 0 NOPUNCT Resistivity Xxxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
in in i in in in n in in in NOCAPS NODIGIT 0 NOPUNCT in xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
Single single S Si Sin Sing e le gle ngle INITCAP NODIGIT 0 NOPUNCT Single Xxxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
Crystalline crystalline C Cr Cry Crys e ne ine line INITCAP NODIGIT 0 NOPUNCT Crystalline Xxxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
Ag ag A Ag Ag Ag g Ag Ag Ag INITCAP NODIGIT 0 NOPUNCT Ag Xx Xx SAMEFONT SAMEFONTSIZE false false BASELINE true
5 5 5 5 5 5 5 5 5 5 NOCAPS ALLDIGIT 1 NOPUNCT X d d DIFFERENTFONT LOWERFONT false false SUBSCRIPT false
Pb pb P Pb Pb Pb b Pb Pb Pb INITCAP NODIGIT 0 NOPUNCT Pb Xx Xx DIFFERENTFONT HIGHERFONT false false BASELINE true
2 2 2 2 2 2 2 2 2 2 NOCAPS ALLDIGIT 1 NOPUNCT X d d DIFFERENTFONT LOWERFONT false false SUBSCRIPT true
O o O O O O O O O O ALLCAPS NODIGIT 1 NOPUNCT O X X DIFFERENTFONT HIGHERFONT false false BASELINE true
6 6 6 6 6 6 6 6 6 6 NOCAPS ALLDIGIT 1 NOPUNCT X d d DIFFERENTFONT LOWERFONT false false SUBSCRIPT true


We we W We We We e We We We INITCAP NODIGIT 0 NOPUNCT We Xx Xx DIFFERENTFONT HIGHERFONT false false BASELINE false
measured measured m me mea meas d ed red ured NOCAPS NODIGIT 0 NOPUNCT measured xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
electrical electrical e el ele elec l al cal ical NOCAPS NODIGIT 0 NOPUNCT electrical xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
resistivity resistivity r re res resi y ty ity vity NOCAPS NODIGIT 0 NOPUNCT resistivity xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
, , , , , , , , , , ALLCAPS NODIGIT 1 COMMA , , , SAMEFONT SAMEFONTSIZE false false BASELINE false
specific specific s sp spe spec c ic fic ific NOCAPS NODIGIT 0 NOPUNCT specific xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
heat heat h he hea heat t at eat heat NOCAPS NODIGIT 0 NOPUNCT heat xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
and and a an and and d nd and and NOCAPS NODIGIT 0 NOPUNCT and xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
magnetic magnetic m ma mag magn c ic tic etic NOCAPS NODIGIT 0 NOPUNCT magnetic xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
susceptibility susceptibility s su sus susc y ty ity lity NOCAPS NODIGIT 0 NOPUNCT susceptibility xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
of of o of of of f of of of NOCAPS NODIGIT 0 NOPUNCT of xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
single single s si sin sing e le gle ngle NOCAPS NODIGIT 0 NOPUNCT single xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
crystals crystals c cr cry crys s ls als tals NOCAPS NODIGIT 0 NOPUNCT crystals xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
of of o of of of f of of of NOCAPS NODIGIT 0 NOPUNCT of xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
highly highly h hi hig high y ly hly ghly NOCAPS NODIGIT 0 NOPUNCT highly xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
conductive conductive c co con cond e ve ive tive NOCAPS NODIGIT 0 NOPUNCT conductive xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
oxide oxide o ox oxi oxid e de ide xide NOCAPS NODIGIT 0 NOPUNCT oxide xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
Ag ag A Ag Ag Ag g Ag Ag Ag INITCAP NODIGIT 0 NOPUNCT Ag Xx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
5 5 5 5 5 5 5 5 5 5 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT SAMEFONTSIZE false false BASELINE false
Pb pb P Pb Pb Pb b Pb Pb Pb INITCAP NODIGIT 0 NOPUNCT Pb Xx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
2 2 2 2 2 2 2 2 2 2 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT SAMEFONTSIZE false false BASELINE false
O o O O O O O O O O ALLCAPS NODIGIT 1 NOPUNCT O X X SAMEFONT SAMEFONTSIZE false false BASELINE false
6 6 6 6 6 6 6 6 6 6 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT SAMEFONTSIZE false false BASELINE false
, , , , , , , , , , ALLCAPS NODIGIT 1 COMMA , , , SAMEFONT SAMEFONTSIZE false false BASELINE false
which which w wh whi whic h ch ich hich NOCAPS NODIGIT 0 NOPUNCT which xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
